Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
QA09	20180815	13,2018-08-15 13:00:38,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_forQA09_1_20180815_133518.avi,3536.840,25.0,No focal subject,nectarforaging,,STATE,0.000,1100.802,1100.802,,
QA09	20180815	13,2018-08-15 13:00:38,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_forQA09_1_20180815_133518.avi,3536.840,25.0,Queen,nectarforaging,,STATE,0.001,1316.301,1316.300,,
nest	QA09	20180813	19,2018-08-13 19:00:05,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180813_093339.avi,2073.600,25.0,Queen,incubate,,STATE,0.040,64.320,64.280,,
nest	QA09	20180820	13,2018-08-20 13:00:41,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180820_131717.avi,2417.600,25.0,Queen,incubate,,STATE,0.040,64.320,64.280,,
nest	QA09	20180815	5,2018-08-15 05:00:09,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180815_053412.avi,3602.840,25.0,Queen,broodmanipulate,,STATE,0.800,46.504,45.704,,
nest	QA09	20180813	1,2018-08-13 01:00:42,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180813_013111.avi,1740.960,25.0,Queen,incubate,,STATE,1.040,125.360,124.320,,
nest	QA09	20180819	18,2018-08-19 18:00:13,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180819_181414.avi,2259.040,25.0,Queen,broodmanipulate,,STATE,1.075,94.026,92.951,,
nest	QA09	20180819	7,2018-08-19 07:00:55,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180819_071238.avi,2437.360,25.0,Queen,incubate,,STATE,1.440,59.440,58.000,,
nest	QA09	20180815	7,2019-01-07 13:43:24,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180815_073419.avi,3595.280,25.0,Queen,broodmanipulate,,STATE,1.480,121.239,119.759,,
nest	QA09	20180819	23,2018-08-19 23:00:45,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180819_231458.avi,2044.480,25.0,Queen,broodmanipulate,,STATE,1.505,22.154,20.649,,
nest	QA09	20180814	1,2018-08-14 01:00:23,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180814_010149.avi,1276.720,25.0,Queen,incubate,,STATE,3.254,23.529,20.275,,
nest	QA09	20180815	12,2018-08-15 12:00:27,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180815_123435.avi,3601.280,25.0,Queen,broodmanipulate,,STATE,10.328,114.549,104.221,,
nest	QA09	20180815	13,2018-08-15 13:00:49,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180815_133438.avi,3575.320,25.0,Queen,broodmanipulate,,STATE,16.480,40.200,23.720,,
nest	QA09	20180820	5,2018-08-20 05:00:47,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180820_051558.avi,2193.360,25.0,Queen,broodmanipulate,,STATE,18.836,20.885,2.049,,
nest	QA09	20180820	5,2018-08-20 05:00:47,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180820_051558.avi,2193.360,25.0,Queen,broodmanipulate,,STATE,22.416,37.365,14.949,,
